,Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
1863,Scooby-Doo 2: Monsters Unleashed,GBA,2004,Action,46.0,,6
1864,Power Rangers: Dino Thunder,PS2,2004,Action,49.0,6.2,6
1865,Madden NFL 08,PSP,2007,Sports,75.0,6.8,6
1866,Madden NFL 09,PSP,2008,Sports,68.0,6.5,6
1867,NBA Live 09,X360,2008,Sports,77.0,7.4,6
1869,Dynasty Warriors 6,PS3,2007,Action,59.0,7.3,16
1870,NCAA Football 09,X360,2008,Sports,83.0,7.7,6
1871,Doom 3: Resurrection of Evil,XB,2005,Shooter,77.0,7.9,18
1873,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007,Role-Playing,65.0,5.9,16
1874,Two Worlds,X360,2007,Role-Playing,50.0,5.5,18
1875,Tony Hawk's Underground,GC,2003,Sports,89.0,8.5,16
1876,Spider-Man 2,PSP,2005,Action,67.0,6.9,16
1877,NCAA Football 08,X360,2007,Sports,81.0,7.8,6
1879,Star Wars: Obi-Wan,XB,2001,Action,58.0,5.9,16
1880,Ace Attorney Investigations: Miles Edgeworth,DS,2009,Adventure,78.0,8.4,16
1881,Kill.Switch,PS2,2003,Shooter,73.0,8.3,16
1883,Madden NFL 2005,GC,2004,Sports,90.0,,6
1884,F-14 Tomcat,GBA,2001,Action,67.0,,6
1885,SplashDown,PS2,2001,Racing,84.0,8.2,6
1886,Jade Empire,XB,2005,Role-Playing,89.0,8.6,18
1887,Infinite Undiscovery,X360,2008,Role-Playing,68.0,7.0,16
1888,FIFA Soccer 11,DS,2010,Sports,63.0,,6
1891,Advance Wars,GBA,2001,Strategy,92.0,9.0,6
1892,NASCAR 2001,PS2,2000,Racing,66.0,6.6,6
1893,Mafia,PS2,2004,Action,65.0,7.6,18
1894,Ape Escape: On the Loose,PSP,2005,Platform,66.0,6.4,6
1895,Mobile Suit Gundam: Journey to Jaburo,PS2,2000,Simulation,58.0,8.1,16
1896,MLB 08: The Show,PS3,2008,Sports,85.0,8.7,6
1897,TimeSplitters 2,PS2,2002,Shooter,90.0,8.8,16
1900,Classic NES Series: Zelda II: The Adventure of Link,GBA,2004,Adventure,73.0,7.5,6
1901,Disney's Chicken Little,GBA,2005,Platform,71.0,,6
1902,James Bond 007: Blood Stone,PS3,2010,Shooter,65.0,7.4,16
1903,Metal Gear Solid: Portable Ops Plus,PSP,2007,Action,65.0,7.5,16
1904,LEGO Rock Band,Wii,2009,Misc,70.0,6.8,12
1905,Halo 2 Multiplayer Map Pack,XB,2005,Shooter,89.0,7.4,18
1906,Mortal Kombat: Shaolin Monks,PS2,2005,Action,77.0,8.6,18
1907,MotionSports,X360,2010,Sports,40.0,4.4,16
1908,MX vs. ATV Unleashed: On the Edge,PSP,2006,Racing,68.0,8.1,6
1909,Mario Pinball Land,GBA,2004,Misc,62.0,4.9,6
1910,Dragon Ball Z: Budokai,GC,2003,Fighting,65.0,6.3,16
1913,The Sims 2: Apartment Pets,DS,2008,Simulation,50.0,3.3,6
1914,Harry Potter and the Chamber of Secrets,GC,2002,Action,77.0,8.3,6
1915,Prince of Persia: The Forgotten Sands,PS3,2010,Action,75.0,7.6,16
1916,The Lord of the Rings: The Return of the King,GC,2003,Action,84.0,8.5,16
1919,Baldur's Gate: Dark Alliance II,PS2,2004,Role-Playing,78.0,8.7,16
1920,Shark Tale,GBA,2004,Action,63.0,9.0,6
1921,IL-2 Sturmovik: Birds of Prey,PS3,2009,Simulation,81.0,7.3,16
1922,NBA Street Vol. 2,XB,2003,Sports,89.0,8.8,6
1923,MX vs. ATV Untamed,X360,2007,Racing,70.0,7.1,6
1924,The Last Remnant,X360,2008,Role-Playing,66.0,6.9,18
1925,NCAA Football 2005,XB,2004,Sports,89.0,8.0,6
1926,The Sly Collection,PS3,2010,Platform,85.0,8.8,12
1927,Naruto: Clash of Ninja,GC,2003,Fighting,72.0,8.1,16
1929,Prince of Persia: The Two Thrones,PS2,2005,Action,85.0,8.5,18
1930,Hot Shots Golf: Open Tee 2,PSP,2007,Sports,82.0,8.6,6
1931,Suikoden II,PS,1998,Role-Playing,82.0,8.4,16
1932,Iron Man,PS3,2008,Action,42.0,6.2,16
1933,FIFA Soccer 06,XB,2005,Sports,80.0,7.5,6
1934,Fight Night 2004,XB,2004,Fighting,85.0,8.7,16
1935,.hack//Mutation Part 2,PS2,2002,Role-Playing,76.0,8.9,16
1937,Cars: Mater-National Championship,DS,2007,Racing,69.0,6.8,6
1938,LEGO Harry Potter: Years 1-4,PSP,2010,Action,71.0,,12
1939,Midway Arcade Treasures 2,PS2,2004,Misc,74.0,,18
1941,Return to Castle Wolfenstein: Tides of War,XB,2003,Shooter,84.0,8.8,18
1943,Spider-Man 3,PS3,2007,Platform,60.0,7.0,16
1944,Mass Effect,PC,2008,Role-Playing,89.0,8.6,18
1946,Armored Core 3,PS2,2002,Simulation,74.0,9.0,16
1947,Star Wars: Republic Commando,XB,2005,Shooter,78.0,8.9,16
1949,Turok,PS3,2008,Action,67.0,6.0,18
1951,Red Steel,Wii,2006,Shooter,63.0,6.8,16
1952,Unreal Tournament III,PS3,2007,Shooter,86.0,7.7,18
1953,Fossil Fighters: Champions,DS,2010,Role-Playing,68.0,7.1,6
1954,The Sims 3,DS,2010,Simulation,73.0,6.4,6
1955,Pro Pinball: Big Race USA,PS,1999,Simulation,69.0,,6
1956,NFL Street,XB,2004,Sports,81.0,8.8,6
1957,Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007,Role-Playing,77.0,7.2,12
1958,Bakugan: Battle Brawlers,Wii,2009,Action,62.0,7.2,6
1959,Blazing Angels: Squadrons of WWII,PS3,2006,Simulation,67.0,6.9,16
1960,WWE SmackDown vs. RAW 2007,PSP,2006,Fighting,78.0,8.1,16
1962,Tony Hawk's Proving Ground,PS2,2007,Sports,65.0,6.6,16
1963,The Darkness,PS3,2007,Shooter,80.0,7.7,18
1964,MLB 2004,PS2,2003,Sports,61.0,7.9,6
1965,Darkstone,PS,2001,Role-Playing,58.0,8.3,16
1966,NCAA March Madness 2003,PS2,2002,Sports,74.0,8.0,6
1967,Finding Nemo,XB,2003,Action,63.0,,6
1968,Thrillville,PS2,2006,Strategy,69.0,2.9,12
1969,Madagascar,GC,2005,Platform,70.0,,12
1970,Castlevania: Lords of Shadow,X360,2010,Action,83.0,7.8,18
1971,NHL 10,X360,2009,Sports,88.0,8.4,12
1972,Street Fighter Anniversary Collection,PS2,2004,Fighting,78.0,8.7,16
1974,Napoleon: Total War,PC,2010,Strategy,81.0,7.9,16
1976,The Sims: Bustin' Out,GC,2003,Simulation,81.0,9.0,16
1978,Ratatouille,PSP,2007,Action,64.0,7.1,6
1980,Tom Clancy's EndWar,PS3,2008,Strategy,76.0,6.6,16
1981,Shrek: Hassle at the Castle,GBA,2002,Action,71.0,7.4,6
1982,Suikoden IV,PS2,2004,Role-Playing,63.0,7.3,16
1983,Gods Eater Burst,PSP,2010,Action,71.0,7.9,16
1984,Fist of the North Star: Ken's Rage,PS3,2010,Action,60.0,6.9,18
1985,Disney's Kim Possible 2: Drakken's Demise,GBA,2004,Platform,77.0,,6
1987,Brothers In Arms: Road to Hill 30,XB,2005,Shooter,88.0,8.0,18
1989,Kung Fu Panda,PS2,2008,Action,73.0,8.6,12
1991,Shaun White Snowboarding,PS3,2008,Sports,63.0,6.3,16
1992,Radiata Stories,PS2,2005,Role-Playing,74.0,9.0,16
1993,F-Zero GX,GC,2003,Racing,89.0,8.5,16
1994,Disney's Chicken Little,PS2,2005,Platform,60.0,8.9,12
1995,Scene It? Box Office Smash,X360,2008,Misc,76.0,7.4,16
1996,Yoshi Topsy-Turvy,GBA,2004,Platform,60.0,6.6,6
1997,Monster Jam: Maximum Destruction,PS2,2002,Racing,47.0,6.0,16
1998,Tiger Woods PGA Tour 09,PS3,2008,Sports,82.0,7.2,6
2000,Tiger Woods PGA Tour 09,X360,2008,Sports,84.0,7.8,6
2001,Advance Wars 2: Black Hole Rising,GBA,2003,Strategy,89.0,9.4,6
2002,Wario: Master of Disguise,DS,2007,Platform,60.0,7.4,12
2004,Drakengard,PS2,2003,Role-Playing,63.0,9.1,18
2005,Champions: Return to Arms,PS2,2005,Role-Playing,77.0,8.8,16
2006,Harry Potter and the Goblet of Fire,PS2,2005,Action,68.0,6.7,12
2007,MX vs. ATV Untamed,PSP,2007,Racing,59.0,,6
2008,Tiger Woods PGA Tour 10,X360,2009,Sports,80.0,6.9,6
2009,007: Quantum of Solace,Wii,2008,Action,54.0,7.5,16
2010,Wall-E,PSP,2008,Platform,64.0,,6
2013,Crash Bandicoot Purple: Ripto's Rampage,GBA,2004,Platform,67.0,6.6,6
2015,Need For Speed: Undercover,Wii,2008,Racing,54.0,6.2,16
2016,Spyro: A Hero's Tail,PS2,2004,Platform,60.0,8.0,6
2017,Crash: Twinsanity,PS2,2004,Platform,64.0,8.0,6
2019,Max Payne 2: The Fall of Max Payne,XB,2003,Shooter,84.0,8.4,18
2020,Drawn to Life: The Next Chapter,DS,2009,Puzzle,72.0,7.7,6
2021,GoldenEye: Rogue Agent,PS2,2004,Shooter,60.0,7.0,16
2023,Star Ocean: First Departure,PSP,2007,Role-Playing,74.0,7.4,16
2024,James Bond 007: Everything or Nothing,XB,2004,Shooter,83.0,7.4,16
2025,X2: Wolverine's Revenge,PS2,2003,Platform,58.0,7.2,16
2026,NBA Live 06,XB,2005,Sports,79.0,6.4,6
2029,TimeSplitters 2,XB,2002,Shooter,88.0,7.7,16
2030,Onimusha: Dawn of Dreams,PS2,2006,Action,81.0,8.9,18
2031,Sengoku Basara: Samurai Heroes,PS3,2010,Action,61.0,7.9,16
2032,Stuntman: Ignition,X360,2007,Racing,75.0,7.3,16
2033,Real Heroes: Firefighter,Wii,2009,Action,67.0,8.2,12
2035,Konami Collector's Series: Arcade Advanced,GBA,2002,Misc,78.0,,6
2037,Dragon Ball: Raging Blast 2,X360,2010,Fighting,57.0,7.4,16
2041,Lemony Snicket's A Series of Unfortunate Events,PS2,2004,Platform,63.0,5.7,6
2042,Lost Planet: Extreme Condition,PS3,2008,Shooter,67.0,7.0,16
2043,X-Men Legends II: Rise of Apocalypse,PS2,2005,Role-Playing,82.0,7.3,16
2044,SingStar Queen,PS2,2009,Misc,73.0,,16
2045,LEGO Star Wars II: The Original Trilogy,X360,2006,Action,81.0,8.0,12
2046,Rock Band 3,Wii,2010,Misc,91.0,6.9,16
2048,Tony Hawk's Pro Skater 2x,XB,2001,Sports,78.0,8.8,16
2049,NBA Live 08,PS3,2007,Sports,73.0,6.8,6
2050,FIFA Soccer 2003,XB,2002,Sports,88.0,7.7,6
2051,The Lord of the Rings: Conquest,X360,2009,Action,55.0,7.0,16
2053,NASCAR 06: Total Team Control,PS2,2005,Racing,78.0,7.7,6
2054,Iron Man,PSP,2008,Action,44.0,6.5,16
2055,White Knight Chronicles II,PS3,2010,Role-Playing,60.0,7.1,16
2056,Juiced 2: Hot Import Nights,X360,2007,Racing,68.0,7.6,16
2057,Wolfenstein,PS3,2009,Shooter,71.0,7.4,18
2060,Ape Escape 2,PS2,2002,Platform,82.0,8.4,6
2061,Sega Rally Revo,PS3,2007,Racing,75.0,7.0,6
2062,Shin Megami Tensei: Persona 3 FES,PS2,2007,Role-Playing,89.0,8.3,18
2063,FIFA Soccer 2002,PS2,2001,Sports,82.0,5.8,6
2065,Condemned 2: Bloodshot,X360,2008,Action,80.0,8.4,18
2066,Okami,PS2,2006,Action,93.0,9.3,16
2067,Shin Megami Tensei: Persona 3 Portable,PSP,2009,Role-Playing,89.0,8.3,18
2068,NHL 2001,PS,2000,Sports,88.0,7.7,6
2070,Buzz Lightyear of Star Command,PS,2000,Platform,54.0,5.3,6
2072,Namco Museum,GC,2002,Misc,62.0,,6
2073,Tony Hawk's Project 8,PS3,2006,Sports,76.0,7.2,16
2074,Ghostbusters: The Video Game,X360,2009,Action,79.0,8.5,16
2076,Tony Hawk's American Wasteland,XB,2005,Sports,77.0,7.7,16
2077,Wild ARMs 3,PS2,2002,Role-Playing,78.0,8.4,16
2078,Madden NFL 07,GC,2006,Sports,82.0,9.2,6
2079,Tiger Woods PGA Tour 2004,XB,2003,Sports,89.0,8.2,6
2080,Tak 2: The Staff of Dreams,PS2,2004,Platform,71.0,8.0,6
2083,Donkey Kong Barrel Blast,Wii,2007,Racing,46.0,6.8,6
2084,Viewtiful Joe,GC,2003,Action,93.0,8.3,16
2085,The Urbz: Sims in the City,GBA,2004,Simulation,72.0,9.2,6
2086,Guitar Hero: Metallica,PS3,2009,Misc,86.0,8.0,16
2087,Strike Force Bowling,PS2,2004,Sports,48.0,6.8,6
2088,Red Steel 2,Wii,2010,Shooter,80.0,8.6,16
2089,XGRA: Extreme G-Racing Association,PS2,2004,Racing,68.0,8.6,16
2091,Prince of Persia: The Forgotten Sands,X360,2010,Action,74.0,7.8,16
2093,DJ Hero 2,Wii,2010,Misc,88.0,7.5,16
2095,Wall-E,X360,2008,Platform,50.0,6.3,6
2096,Harry Potter and the Half-Blood Prince,DS,2009,Action,48.0,4.3,6
2097,NieR,PS3,2010,Role-Playing,68.0,8.4,18
2099,NBA 2K9,PS3,2008,Sports,82.0,7.0,6
2100,NFL Fever 2003,XB,2002,Sports,72.0,8.6,6
2101,Samurai Warriors 2,PS2,2006,Action,58.0,8.8,16
2102,Wet,PS3,2009,Shooter,70.0,6.4,18
2105,Fire Emblem: Shadow Dragon,DS,2008,Role-Playing,81.0,7.0,12
2107,Metroid Prime: Trilogy,Wii,2009,Shooter,91.0,9.3,16
2108,Robotech: Battlecry,PS2,2002,Shooter,72.0,8.5,16
2110,Jak and Daxter: The Lost Frontier,PSP,2009,Platform,71.0,6.3,12
2111,Texas Hold 'Em Poker,GBA,2004,Misc,49.0,6.8,6
2112,Time Crisis 3,PS2,2003,Shooter,81.0,8.1,16
2113,Vanquish,PS3,2010,Shooter,84.0,8.1,18
2115,Half-Life 2,XB,2005,Shooter,90.0,8.6,18
2116,Tony Hawk: RIDE,X360,2009,Sports,46.0,3.0,12
2118,Major League Baseball 2K8,X360,2008,Sports,70.0,5.9,6
2119,Sacred 2: Fallen Angel,PS3,2009,Role-Playing,70.0,7.1,18
2120,pro evolution soccer 2011,X360,2010,Sports,79.0,5.9,6
2121,Major League Baseball 2K9,X360,2009,Sports,64.0,5.3,6
2122,Final Fantasy IV Advance,GBA,2005,Role-Playing,85.0,7.3,12
2124,Madden NFL 2003,GBA,2002,Sports,76.0,,6
2125,Harry Potter and the Goblet of Fire,GBA,2005,Action,71.0,6.0,6
2126,Dragon Ball Z: Buu's Fury,GBA,2004,Action,62.0,8.9,6
2127,Madden NFL 2002,GC,2001,Sports,89.0,,6
2128,Spider-Man: Mysterio's Menace,GBA,2001,Action,84.0,8.7,6
2129,MySims Racing,DS,2009,Racing,67.0,7.3,6
2130,Naruto: Ultimate Ninja,PS2,2003,Fighting,75.0,7.7,16
2131,Pac-Man Party,Wii,2010,Misc,59.0,5.9,12
2132,Tony Hawk's Underground,GBA,2003,Sports,86.0,7.7,6
2133,Shadow The Hedgehog,PS2,2005,Platform,45.0,6.0,12
2134,Wave Race: Blue Storm,GC,2001,Racing,80.0,8.3,6
2136,Backyard Wrestling: Don't Try This at Home,PS2,2003,Fighting,51.0,7.8,18
2138,Fight Night Round 2,XB,2005,Fighting,88.0,8.8,16
2141,NBA 2K8,PS2,2007,Sports,72.0,6.0,6
2144,Secret Agent Clank,PS2,2009,Platform,61.0,6.7,12
2145,Call of Juarez: Bound in Blood,X360,2009,Shooter,77.0,7.6,18
2146,Fighters Uncaged,X360,2010,Fighting,32.0,4.6,16
2147,Rayman Arena,PS2,2001,Racing,63.0,8.6,6
2148,Jaws Unleashed,PS2,2006,Action,52.0,7.5,18
2149,Half-Life,PS2,2001,Shooter,87.0,8.6,18
2150,NASCAR Heat 2002,PS2,2001,Racing,81.0,,6
2151,Split/Second,X360,2010,Racing,82.0,8.1,12
2152,The Golden Compass,DS,2007,Action,43.0,4.9,12
2153,Muramasa: The Demon Blade,Wii,2009,Role-Playing,81.0,8.7,16
2154,Okami,Wii,2008,Action,90.0,8.9,16
2160,Major League Baseball 2K7,PS2,2007,Sports,71.0,,6
2161,SimCity DS,DS,2007,Simulation,69.0,6.3,6
2162,Hot Wheels: Stunt Track Challenge,PS2,2004,Racing,62.0,8.1,6
2163,Monopoly,X360,2008,Misc,56.0,5.8,6
2164,Tony Hawk: RIDE,PS3,2009,Sports,44.0,2.1,12
2165,Medal of Honor: Frontline,GC,2002,Shooter,80.0,7.9,16
2166,Dead Space,PC,2008,Action,86.0,8.0,18
2167,NFL Blitz 2001,PS,2000,Sports,70.0,,6
2168,NHL 11,PS3,2010,Sports,88.0,7.1,12
2170,2002 FIFA World Cup,PS2,2002,Sports,73.0,5.6,6
2171,MVP Baseball 2004,XB,2004,Sports,90.0,8.5,6
2172,Crash Bandicoot: The Wrath of Cortex,GC,2002,Platform,62.0,7.3,6
2175,Dead or Alive Xtreme Beach Volleyball,XB,2003,Sports,73.0,7.8,18
2176,Silent Hill: Shattered Memories,PS2,2010,Action,77.0,6.8,18
2177,Blur,X360,2010,Racing,82.0,8.3,12
2178,Asphalt: Urban GT,DS,2004,Racing,60.0,7.5,6
2179,Mega Man Anniversary Collection,PS2,2004,Platform,81.0,9.0,6
2181,Harvest Moon: Friends of Mineral Town,GBA,2003,Simulation,81.0,9.6,6
2182,Naruto: The Broken Bond,X360,2008,Action,80.0,7.8,16
2183,WarioWare D.I.Y.,DS,2009,Misc,82.0,8.7,6
2184,Iron Man,Wii,2008,Action,44.0,7.0,16
2185,The Fight: Lights Out,PS3,2010,Fighting,48.0,7.5,16
2186,Mega Man X7,PS2,2003,Action,58.0,5.1,6
2188,Final Fantasy Anniversary Edition,PSP,2007,Role-Playing,67.0,7.7,12
2190,Romancing SaGa,PS2,2005,Role-Playing,58.0,8.0,12
2191,Lost: Via Domus,X360,2008,Action,55.0,6.4,16
2192,Top Spin 3,Wii,2008,Action,68.0,5.7,6
2193,Game Party in Motion,X360,2010,Misc,33.0,3.7,6
2194,The Lord of the Rings: The Third Age,PS2,2004,Role-Playing,73.0,8.2,16
2195,Call of Duty: Black Ops,DS,2010,Shooter,74.0,6.0,16
2196,NCAA Football 09,PS3,2008,Sports,81.0,7.3,6
2200,Terminator 3: Rise of the Machines,PS2,2003,Action,38.0,6.3,16
2201,Guitar Hero: Smash Hits,Wii,2009,Misc,74.0,7.7,16
2202,Tom Clancy's HAWX,X360,2009,Action,73.0,7.3,16
2205,NBA 2K7,X360,2006,Sports,84.0,7.8,6
2207,Unreal Tournament,PS2,2000,Shooter,77.0,6.8,18
2208,Digimon World 2,PS,2000,Role-Playing,42.0,7.6,6
2209,Prince of Persia: The Two Thrones,XB,2005,Action,85.0,8.4,18
2211,Contra: Shattered Soldier,PS2,2002,Shooter,78.0,6.6,16
2212,Final Fantasy: The 4 Heroes of Light,DS,2009,Role-Playing,71.0,7.1,12
2215,Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,77.0,8.7,18
2216,Tony Hawk's Pro Skater 4,GC,2002,Sports,91.0,8.6,16
2217,Naruto: Uzumaki Chronicles 2,PS2,2006,Action,52.0,6.9,16
2218,NHL 06,PS2,2005,Sports,78.0,8.5,12
2219,Parasite Eve II,PS,1999,Role-Playing,79.0,9.0,18
2220,Skate it,Wii,2008,Sports,70.0,8.4,6
2222,Far Cry Instincts,XB,2005,Shooter,85.0,5.7,18
2223,Tony Hawk's Pro Skater 4,GBA,2002,Sports,85.0,8.8,6
2224,ATV Offroad Fury: Blazin' Trails,PSP,2005,Racing,63.0,7.8,6
2225,Tales of the Abyss,PS2,2005,Role-Playing,78.0,8.4,16
2227,Blacksite: Area 51,X360,2007,Shooter,62.0,6.1,16
2228,Spyro Orange: The Cortex Conspiracy,GBA,2004,Action,60.0,7.0,6
2231,The Sims 3: World Adventures,PC,2009,Simulation,81.0,8.0,16
2232,Madden NFL 06,GC,2005,Sports,86.0,8.5,6
2234,BlazBlue: Calamity Trigger,PS3,2009,Fighting,87.0,8.4,16
2235,Iron Man,X360,2008,Action,45.0,5.9,16
2236,Naruto: Ultimate Ninja 2,PS2,2004,Fighting,73.0,7.9,16
2237,NHL 10,PS3,2009,Sports,88.0,7.9,12
2238,Rock Band 3,PS3,2010,Misc,91.0,8.0,16
2239,Blood Wake,XB,2001,Shooter,71.0,7.5,16
2240,Dynasty Warriors 5: Xtreme Legends,PS2,2005,Action,57.0,9.1,16
2242,FIFA World Cup Germany 2006,PS2,2006,Sports,77.0,8.1,6
2243,Wreckless: ThE YaKuza MisSiOns,XB,2002,Racing,74.0,5.2,16
2246,SpongeBob SquarePants: Battle for Bikini Bottom,XB,2003,Platform,70.0,8.9,6
2248,Spider-Man 3,X360,2007,Platform,63.0,7.0,16
2250,The Conduit,Wii,2009,Shooter,69.0,8.2,16
2251,Trivial Pursuit,Wii,2009,Misc,67.0,,6
2254,RalliSport Challenge,XB,2002,Racing,87.0,8.3,6
2255,Resident Evil Outbreak File #2,PS2,2004,Action,58.0,7.7,18
2256,Top Spin 3,PS3,2008,Action,75.0,7.5,6
2257,XIII,PS2,2003,Shooter,73.0,8.6,18
2258,Tomb Raider: Anniversary,PSP,2007,Action,78.0,8.2,16
2260,3D Dot Game Heroes,PS3,2009,Role-Playing,77.0,8.0,12
2261,Up,Wii,2009,Action,62.0,8.0,12
2262,Breath of Fire IV,PS,2000,Role-Playing,83.0,8.9,16
2263,True Crime: Streets of LA,GC,2003,Action,77.0,7.3,18
2264,Odin Sphere,PS2,2007,Role-Playing,83.0,8.6,16
2266,Arena Football,PS2,2006,Sports,66.0,8.6,12
2267,The Lord of the Rings: The Return of the King,GBA,2003,Action,77.0,8.2,16
2268,NHL Hitz 20-02,PS2,2001,Sports,78.0,7.6,6
2269,The Legend of Spyro: Dawn of the Dragon,Wii,2008,Platform,64.0,6.5,12
2270,Classic NES Series: Dr. Mario,GBA,2004,Puzzle,66.0,7.5,6
2271,The Sims: Bustin' Out,XB,2003,Simulation,81.0,8.9,16
2272,NCAA March Madness 07,PS2,2007,Sports,63.0,8.6,6
2273,"Monsters, Inc. Scream Team",PS,2001,Platform,65.0,6.9,6
2275,Top Spin 3,X360,2008,Action,78.0,7.6,6
2276,Cabela's Big Game Hunter 2005 Adventures,PS2,2004,Sports,55.0,8.4,16
2277,LEGO Rock Band,X360,2009,Misc,71.0,7.2,12
2278,Knockout Kings 2001,PS2,2001,Fighting,81.0,,16
2279,Battlefield 2: Modern Combat,XB,2005,Shooter,80.0,8.2,16
2280,Tom Clancy's HAWX,PS3,2009,Action,74.0,8.1,16
2281,All-Star Baseball 2002,PS2,2001,Sports,77.0,7.6,6
2282,Need for Speed: Most Wanted,GC,2005,Racing,80.0,9.1,16
2283,Bolt,Wii,2008,Adventure,50.0,5.8,12
2284,WWE Raw 2,XB,2003,Fighting,68.0,7.3,16
2285,Manhunt 2,PS2,2007,Action,67.0,7.8,18
2286,Fullmetal Alchemist and the Broken Angel,PS2,2003,Role-Playing,56.0,8.1,16
2287,Tony Hawk's Project 8,PSP,2006,Sports,68.0,7.6,16
2288,Batman Begins,PS2,2005,Action,64.0,7.3,16
2289,Tony Hawk's Proving Ground,X360,2007,Sports,72.0,5.4,16
2290,Dr. Seuss' The Cat in the Hat,PS2,2003,Misc,56.0,6.5,6
2291,Barbie Groovy Games,GBA,2002,Misc,47.0,7.0,6
2292,Wolfenstein,X360,2009,Shooter,72.0,7.5,18
2293,Blinx: The Time Sweeper,XB,2002,Platform,71.0,8.0,6
2294,ESPN NFL Football,PS2,2003,Sports,91.0,8.5,6
2295,Major League Baseball 2K5,XB,2005,Sports,81.0,8.2,6
2296,Tetris Party Deluxe,Wii,2010,Puzzle,72.0,5.8,6
2299,Archer Maclean's Mercury,PSP,2005,Puzzle,75.0,6.6,6
2300,TMNT,X360,2007,Action,58.0,6.3,12
2301,Soldier of Fortune: Gold Edition,PS2,2001,Shooter,59.0,6.8,18
2303,Frontlines: Fuel of War,X360,2008,Shooter,75.0,7.8,16
2304,MX 2002 Featuring Ricky Carmichael,PS2,2001,Racing,76.0,8.3,6
2305,NCAA Football 07,XB,2006,Sports,88.0,6.9,6
2306,Lunar: Silver Star Story Complete,PS,1998,Role-Playing,78.0,9.1,16
2307,Harvest Moon: The Tale of Two Towns,DS,2010,Simulation,68.0,7.5,6
2308,No More Heroes,Wii,2007,Action,83.0,8.4,18
2310,Dora The Explorer: Dora Saves the Snow Princess,Wii,2008,Platform,47.0,7.0,6
2311,Soul Reaver 2,PS2,2001,Action,80.0,8.5,18
2312,Metal Gear Solid 3: Subsistence,PS2,2005,Action,94.0,9.3,18
2313,Enslaved: Odyssey to the West,PS3,2010,Action,80.0,7.4,16
2314,WWF Raw,XB,2002,Fighting,68.0,6.6,16
2316,Extermination,PS2,2001,Action,67.0,7.8,18
2317,Batman: Vengeance,PS2,2001,Adventure,68.0,6.7,16
2319,Tony Hawk's Pro Skater 3,XB,2002,Sports,93.0,8.4,16
2320,Mega Man Zero,GBA,2002,Platform,82.0,8.9,6
2322,NBA 2K8,PS3,2007,Sports,81.0,6.8,6
2326,Shrek 2,XB,2004,Platform,72.0,8.4,6
2327,Purr Pals,DS,2007,Simulation,67.0,6.8,6
2328,Assassin's Creed II,PC,2010,Action,86.0,6.9,18
2329,Tak and the Power of Juju,GBA,2003,Platform,79.0,9.2,6
2330,Lips: Number One Hits,X360,2009,Misc,70.0,7.6,16
2331,Turok: Evolution,XB,2002,Shooter,68.0,6.7,18
2332,Jak X: Combat Racing,PS2,2005,Racing,76.0,7.7,16
2333,American Idol,PS2,2003,Misc,41.0,4.8,6
2334,Red Dead Revolver,XB,2004,Shooter,74.0,8.5,18
2335,CrossworDS,DS,2008,Puzzle,67.0,6.8,6
2336,Viva Pinata: Pocket Paradise,DS,2008,Simulation,82.0,7.1,6
2338,Iron Man,PS2,2008,Action,47.0,5.6,16
2340,The SpongeBob SquarePants Movie,XB,2004,Platform,74.0,8.5,6
2343,Legends of WrestleMania,PS3,2009,Fighting,70.0,6.5,16
2344,Tiger Woods PGA Tour 08,X360,2007,Sports,80.0,7.8,6
2345,Dance Dance Revolution Ultramix,XB,2003,Simulation,82.0,8.8,6
2346,Crash Tag Team Racing,PS2,2005,Racing,66.0,7.0,12
2347,Front Mission 4,PS2,2003,Strategy,75.0,8.6,16
2349,F.E.A.R.,PS3,2007,Shooter,72.0,7.4,18
2350,Enslaved: Odyssey to the West,X360,2010,Action,82.0,7.8,16
2351,Dragon Ball Z: Shin Budokai,PSP,2006,Fighting,70.0,8.1,16
2353,Dynasty Warriors: Gundam 3,PS3,2010,Action,58.0,7.5,16
2354,Tiger Woods PGA Tour 11,Wii,2010,Sports,84.0,8.3,6
2355,NBA Live 10,PS3,2009,Sports,81.0,7.5,6
2356,Metro 2033,X360,2010,Shooter,77.0,7.9,18
2357,Fire Emblem: Path of Radiance,GC,2005,Action,85.0,8.9,16
2358,Hotel Dusk: Room 215,DS,2007,Adventure,78.0,8.6,16
2360,SSX Tricky,GC,2001,Sports,87.0,8.6,6
2361,Greg Hastings' Tournament Paintball,XB,2004,Shooter,74.0,9.2,16
2362,ESPN NBA Basketball,PS2,2003,Sports,89.0,8.4,6
2364,Sacred 2: Fallen Angel,X360,2009,Role-Playing,71.0,7.3,18
2366,Over the Hedge,PS2,2006,Platform,58.0,8.6,12
2367,Mat Hoffman's Pro BMX,PS,2001,Sports,80.0,8.6,6
2370,The Hobbit,PS2,2003,Platform,59.0,8.6,6
2371,War of the Monsters,PS2,2003,Fighting,80.0,8.9,16
2372,Harry Potter and the Deathly Hallows - Part 1,Wii,2010,Action,41.0,5.0,16
